ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
307;;Greece;09/03/2020;;all school championships were cancelled.;;;;activity cancellation - other;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;;
278;;Hungary;09/03/2020;;Budapest Ferenc Liszt International Airport does not allow any plane to land coming from Northern Italy;;Budapest;;international travel ban - risk countries;;https://www.origo.hu/itthon/20200308-a-budapesti-repter-hetfotol-milanobol-bergamobol-es-trevisobol-nem-fogad-jaratokat.html;;Italy;;
331;;Guernsey;09/03/2020;;On 9 March, the first case was confirmed. The infected was a person who had travelled from Tenerife.;;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guernsey;;;;
351;;Ireland;09/03/2020;;Many sporting events, including Ireland's final two rugby Six Nations fixtures against Italy and France, Gaelic Athletic Association and League of Ireland games, were postponed or cancelled altogether.;;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
305;;Greece;09/03/2020;;On March 9, all school trips were banned,;;;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece;;;;
235;;Cyprus;09/03/2020;;On 9 March 2020, Cyprus confirmed its first two cases of coronavirus: a 25-year-old man from Limassol who had returned from Italy and a 64-year-old health professional from Nicosia who had returned from the United Kingdom.[1];;;;case reporting, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Cyprus;;;;
448;;Romania;09/03/2020;23/03/2020;The officials announced the cessation of flights to and from Italy, at all airports in the country.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;Italy;;
154;;Spain;09/03/2020;;temporarily closing all educational institutions in Madrid and other hard-hit regions.;;;Madrid;school closure, university closure;;https://www.ft.com/content/b91c1de6-6246-11ea-a6cd-df28cc3c6a68;;;;
;;San Marino;08/03/2020;;San Marino: Law decree containing urgent containment measures for coronavirus published in official gazette.Article 5(2) of the Law Decree provides that the collection of personal data carried out in the framework of the surveillance activities referred to in the Law Decree, as well as within the activities of the Emergency Coordination Health Group, including police activities, can be carried on the basis of public interest in relation to public health.;;;;contact tracing, phone based location tracing;;https://platform.dataguidance.com/news/san-marino-law-decree-containing-urgent-containment-measures-coronavirus-published-official;;;;
664;;Hong Kong;08/03/2020;;Since March 8, 2020, all inbound travellers via Hong Kong International Airport are required to submit health declaration form. To be environmental friendly, travellers are encouraged to submit the form online. After submitting the online form, the system will generate a QR code. Please save the result and show it to the border control point staff upon entering Hong Kong. The QR code is valid for 24 hours.;;;;international traveller screening - all countries, source tracing;;https://www.coronavirus.gov.hk/eng/inbound-travel.html;;;;
80;;Italy;08/03/2020;04/04/2020;stop sport activities (gyms, swimming pools, thermal centers);;;;sports cancellation;;https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html;;;;
;;United States;08/03/2020;;only medically necessary visits would be allowed at nursing homes;;;New York;ban on visit to nursing homes;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
;;United States;08/03/2020;;New York City issued new commuter guidelines amid the current outbreak, asking sick individuals to stay off public transit, encouraging citizens to avoid densely packed buses, subways, or trains;;;New York;public transport occupancy tracing, social distancing advice, symptom isolation, voluntary isolation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
495;;Albania;08/03/2020;;On 8 March 2020, Albania confirmed its first two cases of Coronavirus, a father and son, of which, the son had traveled from Florence, Italy.;;;;case reporting;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
447;;Romania;08/03/2020;31/03/2020;The Head of the Department for Emergency Situations, Raed Arafat, announced a ban on all indoor or outdoor activities that involve the participation of more than 1,000 people.;;;;outdoor gatherings banned;1000;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania;;;;
;;United States;08/03/2020;;first case confirmed;;;Connecticut;first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut;;;;
;;Spain;08/03/2020;;Police have been deployed to lock down entire blocks of a neighbourhood in Haro,;;Haro;La Rioja;cluster isolation - no symptoms, compulsory isolation;;https://www.theguardian.com/world/2020/mar/07/spanish-town-faces-police-lockdown-to-contain-coronavirus;;;;
470;;Czechia;08/03/2020;;On Sunday, 8 March 2020, the Ministry of Health issued an extraordinary measure concerning the ordering of a quarantine for contacts of infected persons. Individual quarantines for contacts of infected people will be newly decided remotely by general practitioners. Hygiene stations will report to GPs and GPs all persons who have been in contact with an infected patient, and remotely decide on a 14-day quarantine.;;;;contact isolation - symptoms, remote medical treatment, remote medical treatment - symptomatic;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Qatar;08/03/2020;;Qatar imposed a temporary ban on arrivals from Nepal and other countries, affecting almost 40,000 labour migrants with valid work permits who were yet to leave.;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;Nepal;;
;;United States;08/03/2020;;Several schools and school districts announced closings or schedule modifications by the 8th due to the impact of the virus;;East Brunswick, Edison;New Jersey;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response;;;;
766;;Albania;08/03/2020;03/04/2020;On 8 March, the government stopped all flights and ferries with quarantined areas of northern Italy until 3rd April,;;;;international travel ban - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;Italy;;
768;;Albania;08/03/2020;;ordered cancellation of all large public gatherings, and asked sports federations to cancel scheduled matches;;;;outdoor gatherings banned, sports cancellation;500;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
767;;Albania;08/03/2020;22/03/2020;halted all schools for two weeks,;;;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
769;;Albania;08/03/2020;;lbanian Health Minister Olgeta Manastirliu announced that anyone entering Albania from quarantined areas of Italy will have to self-isolate, or face punishment if they fail to do so;;;;international traveller quarantine - risk countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;;;
751;;Italy;08/03/2020;;Riots broke out in many penitentiaries throughout Italy after restrictions on conjugal visits were imposed by the government in the 8 March decree. Nine prisoners died in Modena and three in Rieti, while 76 detainees escaped from Foggia's penitentiary.Two prison agents were assaulted and kidnapped in Pavia. On 9 March in Bologna, detainees took control of the Dozza penitentiary, forcing personnel to exit the building. On 11 March, two prisoners were found dead in Bologna's penitentiary.;;;;prisons closed to visitors, riots;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy;;;;
856;;Egypt;08/03/2020;;Temperature sceening of travellers at airports. Reportedly, Asian tourists were screened;;;;international traveller screening - risk countries;;https://www.egypttoday.com/Article/1/82419/Health-tourism-aviation-ministers-follow-up-anti-COVID-19-measures https://www.middleeastmonitor.com/20200308-in-egypt-only-asian-tourists-get-tested-for-coronavirus/;;;;
277;;Hungary;08/03/2020;;Since 8th March visiting someone in a hospital or in any social institution which provides long term staying is prohibited.;;;;visiting in hospital banned;;https://hirado.hu/belfold/kozelet/cikk/2020/03/08/orszagos-latogatasi-tilalom-lepett-ervenybe;;;;
225;;Bulgaria;08/03/2020;;On 8 March 2020 Bulgaria confirmed its first two cases, a 27-year-old man from Pleven and a 75-year-old woman from Gabrovo. Neither of the two reported having traveled to areas with known coronavirus cases. The man tested positive for the virus after being hospitalized for a respiratory infection, and authorities announced plans to test several people who were in contact with the two individuals.[2] Two other samples in Pleven and Gabrovo were found positive on 8 March.[3] Patient zero remains unknown.[4];;;;case reporting, contact tracing, first case;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
231;;Bulgaria;08/03/2020;;Following the announcement of positive SARS-CoV-2 test results, the Bulgarian government immediately banned the exports of protective equipment and placed orders for masks and protective suits to local manufacturers. In addition, 30,000 masks and 50,000 protective suits will be delivered by Turkey;;;;general nonessential business suspension, protective equipment supplies;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
226;;Bulgaria;08/03/2020;;The government issued a nationwide ban on closed-door public events.;;;;indoor gatherings banned;2;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
207;;Belgium;08/03/2020;;On March 8th the federal minister of public health mentioned she had a solution for the shortage of masks but she was unwilling to disclose the potential vendor and the amount of masks involved.[12];;;;public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium;;;;
78;;Italy;08/03/2020;;avoiding moves from place of residence;;;;blanket curfew - no symptoms;;https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html;;;;
79;;Italy;08/03/2020;04/04/2020;stop cultural activities (cinemas, theaters, museums, pubs, game halls, discos);;;;cultural activity limitation;;https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html;;;;
83;;Italy;08/03/2020;04/04/2020;school facilities of all levels are closed.;;;;school closure, university closure;;https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html;;;;
81;;Italy;08/03/2020;04/04/2020;stop religious activities;;;;religious activity cancellation;;https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html;;;;
82;;Italy;08/03/2020;04/04/2020;stop exhibitions;;;;activity cancellation - other;;https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html;;;;
;;United States;07/03/2020;;COVID-19 hotline, website, and operations center;;;Kentucky;symptom hotline;;https://governor.ky.gov/covid-19;;;;
