ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;Singapore;26/03/2020;;Advisory against holding or attending social events with >10 people;;;;outdoor gatherings banned, social distancing;10;;;;;
;;Singapore;26/03/2020;;All tuition and enrichment classes suspended;;;;school closure;50;;;;;
;;Singapore;26/03/2020;;Public venues should make sure there is at least 1 metre of space between people;;;;social distancing, space minimum;1;;;;;
;;Hong Kong;25/03/2020;;The 281 returnees from Hubei were allowed to go home to self-isolate for two weeks with phone based location tracing. Screening was done before departure. The government claimed none of them is tested positive or have symptoms. ;;;;cluster isolation - no symptoms, domestic traveller screening, phone based location tracing;;https://news.rthk.hk/rthk/en/component/k2/1516849-20200325.htm https://news.rthk.hk/rthk/ch/component/k2/1516656-20200325.htm;;;;
;;Hong Kong;25/03/2020;31/03/2020;The government has also proposed amending laws to prohibit 8,600 licenced restaurants and bars from selling alcohol in an effort to promote social distancing. Lam added the measure aims to prevent viral transmission in intimate settings.;;;;limited nonessential business suspension;;https://www.hongkongfp.com/2020/03/23/breaking-coronavirus-hong-kong-ban-foreign-visitors-entry/;;;;
;;Hong Kong;25/03/2020;08/04/2020;"- Hong Kong is to close its borders to many non-residents of the city for 14 days from Wednesday.
Non-residents arriving from the mainland, Macau or Taiwan will still be allowed in, as long as they hadn't been anywhere else in the world in the past 14 days. This applies to citizens as well as foreigners. But those coming from Macau and Taiwan will also have to go into quarantine for 14 days – a rule that had already been imposed on arrivals from everywhere else, including the mainland. In addition, Macau residents who have been in other countries over the past 14 days will still be allowed to fly into Hong Kong airport, but will be taken straight to their home city by coach.
";;;;compulsory isolation, international travel ban - all countries, international traveller quarantine - all countries;; https://www.hongkongfp.com/2020/03/23/breaking-coronavirus-hong-kong-ban-foreign-visitors-entry/;;;;
;;United States;25/03/2020;;Governor Little issued a statewide stay-at-home order for residents to stay and work from home as much as possible;;;Idaho;blanket curfew - no symptoms;;;;;;
;;United States;25/03/2020;;closure of non-essential businesses ;;;Idaho;limited nonessential business suspension;;;;;;
;;United States;25/03/2020;;The Washington State Parks system was closed on March 25;;;Washington;closure of gathering places;;;;;;
;;United States;25/03/2020;;telelhealth implemented;;;Maine;remote medical treatment;1;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
;;United States;25/03/2020;;telelhealth implemented;;;Maine;phone line;1;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
;;Nepal;25/03/2020;;The third case in Kathmandu was confirmed. The patient had recently returned from the United Arab Emirates and was staying in a hotel in Kathmandu. They are being treated in Teku Hospital.;;;;case reporting, source tracing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;United States;25/03/2020;30/04/2020;gathering of more than 10 people is prohibited;;;Hawaii;indoor gatherings banned, outdoor gatherings banned;10;https://hawaiicovid19.com/statewide-stay-at-home-order-effective-march-25-2020-through-april-30-2020/;;;;
;;United States;25/03/2020;;all public or private mass gatherings of more than 10 banned;;;Kansas;indoor gatherings banned;10;https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-14-Executed.pdf;;;;
